,Дата,Менеджер,Звонков совершено,Звонков успешных,Средняя длительность звонка,"Время на линии за день, минут",Количество активных сделок,Количество сделок без задач,Количество просроченных задач,Сделок создано,Встреч назначено,"Кол-во компаний, перешедших на сл этап сделки",Подписано NDA,Подписано договоров,Звонков всего,Разговор состоялся,Говорили с секретарем,Обход секретаря совершён,Секретарь перевел звонок,Контакт получен,Говорили с ЛПР,ЛПР заинтересован,Встреча назначена,Договорились подписать НДА,Договорились подписать Договор,договорились показать кандидатов,кол-во выявл потребн (чел),Нас отправили на почту (КП)
47,2022-01-10,dce5a5e0,32,22,2:26,68,,,,,0,2,,,32,22,18,0,,11,3,6,0,0,0,1,20,6
48,2022-01-11,8070911f,58,34,1:41,79,,,,,0,19,,,58,34,21,10,,6,17,0,0,0,0,0,0,19
49,2022-01-11,dce5a5e0,31,24,4:09,87,,,,,0,22,,,31,24,15,2,,9,7,6,0,0,0,0,1,7
50,2022-01-11,daaa308c,24,9,3:07,59,,,,,0,3,,,24,9,9,4,,1,0,0,0,0,0,4,6,0
51,2022-01-12,8070911f,48,30,2:40,101,,,,,0,0,0,0,48,30,30,10,,4,19,0,0,0,0,0,1,20
52,2022-01-12,dce5a5e0,47,34,3:04,98,,,,,0,0,0,0,47,34,13,3,,9,6,11,0,1,2,3,9,7
53,2022-01-12,daaa308c,18,6,2:50,34,,,,,0,0,1,1,18,5,5,2,,0,0,1,0,1,2,3,3,0
54,2022-01-13,8070911f,60,33,1:42,84,,,,0,0,3,0,0,69,37,35,8,,7,4,3,0,0,0,0,1,10
55,2022-01-13,dce5a5e0,48,28,2:01,68,,,,0,0,0,0,0,48,28,14,2,,8,5,14,0,1,0,1,2,9
56,2022-01-13,daaa308c,14,7,2:49,28,,,,0,0,0,0,0,14,7,6,2,,0,0,0,0,0,0,1,1,0
57,2022-01-14,8070911f,50,29,1:54,68,,,,20,0,1,0,0,50,29,25,5,,6,3,1,0,0,0,0,0,4
58,2022-01-14,dce5a5e0,49,31,1:56,77,,,,1,0,1,0,0,49,31,18,0,,3,6,10,0,0,0,0,4,10
59,2022-01-17,8070911f,59,30,1:23,61,,,,12,0,0,0,0,59,30,18,9,,4,1,3,0,0,0,0,0,7
60,2022-01-17,dce5a5e0,32,18,1:53,35,,,,0,0,0,0,0,32,18,13,4,,4,5,5,0,0,0,3,5,4
61,2022-01-18,dce5a5e0,64,39,2:49,109,,,,0,0,0,0,0,47,28,23,2,,6,6,7,0,0,0,3,2,12
62,2022-01-19,dce5a5e0,58,39,2:28,97,,,,0,1,1,0,0,49,35,30,1,,14,4,12,2,0,0,0,2,13
63,2022-01-20,dce5a5e0,63,36,1:58,76,,,,23,0,3,0,0,60,21,16,1,,11,2,6,0,0,0,0,4,5
64,2022-01-21,dce5a5e0,74,54,2:06,114,,,,26,0,2,0,0,74,45,33,4,,21,10,6,0,0,0,0,0,15
65,2022-01-24,dce5a5e0,46,30,2:12,68,,,,20,0,3,0,0,51,29,21,2,,5,9,6,0,0,0,0,1,7
66,2022-01-25,dce5a5e0,55,35,2:20,82,719,393,119,42,0,0,0,0,31,31,26,3,,12,7,12,1,0,0,0,0,12
67,2022-01-26,dce5a5e0,56,43,1:55,83,718,394,131,1,0,1,0,0,56,29,19,4,,3,14,17,1,0,0,3,2,2
68,2022-01-27,dce5a5e0,51,39,2:30,98,1090,605,970,0,0,0,0,0,51,29,24,3,,5,8,11,0,0,0,0,0,7
69,2022-01-28,dce5a5e0,19,18,2:33,46,1055,603,872,15,,,,,18,13,6,0,,,5,5,0,0,0,0,0,3
70,2022-01-31,dce5a5e0,53,33,2:30,80,1100,611,818,61,,,,,53,18,15,2,,8,3,8,0,0,1,0,0,5
71,2022-02-01,dce5a5e0,61,38,2:14,84,1142,604,803,47,,,,,58,23,22,6,,11,2,3,0,0,0,0,0,8
